pass	strategy	attempt	success	bytes
1	1	1	1	524289
1	1	2	1	524289
1	2	1	1	524289
1	2	2	1	524289
1	3	1	1	524289
1	3	2	1	524289
1	4	1	1	524289
1	4	2	1	524289
1	5	1	1	524289
1	5	2	1	524289
1	6	1	1	524289
1	6	2	1	524289
1	7	1	1	524289
1	7	2	1	524289
1	8	1	1	524289
1	8	2	1	524289
1	9	1	1	524289
1	9	2	1	524289
1	10	1	1	524289
1	10	2	1	524289
1	11	1	1	524289
1	11	2	1	524289
1	12	1	1	524289
1	12	2	1	524289
1	13	1	1	524289
1	13	2	1	524289
2	1	1	1	524289
2	1	2	1	524289
2	2	1	1	524289
2	2	2	1	524289
2	3	1	1	524289
2	3	2	1	524289
2	4	1	1	524289
2	4	2	1	524289
2	5	1	1	524289
2	5	2	1	524289
2	6	1	1	524289
2	6	2	1	524289
2	7	1	1	524289
2	7	2	1	524289
2	8	1	1	524289
2	8	2	1	524289
2	9	1	1	524289
2	9	2	1	524289
2	10	1	1	524289
2	10	2	1	524289
2	11	1	1	524289
2	11	2	1	524289
2	12	1	1	524289
2	12	2	1	524289
2	13	1	1	524289
2	13	2	1	524289
3	1	1	1	524289
3	1	2	1	524289
3	2	1	1	524289
3	2	2	1	524289
3	3	1	1	524289
3	3	2	1	524289
3	4	1	1	524289
3	4	2	1	524289
3	5	1	1	524289
3	5	2	1	524289
3	6	1	1	524289
3	6	2	1	524289
3	7	1	1	524289
3	7	2	1	524289
3	8	1	1	524289
3	8	2	1	524289
3	9	1	1	524289
3	9	2	1	524289
3	10	1	1	524289
3	10	2	1	524289
3	11	1	1	524289
3	11	2	1	524289
3	12	1	1	524289
3	12	2	1	524289
3	13	1	1	524289
3	13	2	1	524289
